MW,LogP,TPSA,HBD,HBA,RotBonds,AromaticRings,HeavyAtoms
543.1410000000003,6.385500000000005,6.48,0,2,5,2,26
353.017,3.9213000000000022,30.19,0,2,1,3,17
469.44800000000026,6.318200000000005,24.5,1,4,4,3,29
341.25199999999995,5.419900000000004,27.82,2,1,2,3,21
377.2460000000001,1.7542999999999995,67.05,1,6,1,2,23
309.166,3.7921000000000022,25.78,0,2,0,3,19
323.1940000000001,2.2697000000000003,45.400000000000006,0,5,1,2,19
361.28300000000013,3.682100000000002,34.15,1,3,5,2,22
505.93700000000035,3.593600000000002,93.49,1,8,5,4,36
530.4050000000002,0.12131999999999987,176.84999999999997,1,9,8,2,37
422.4160000000002,1.60612,113.22000000000001,2,5,5,2,31
395.50300000000016,4.418600000000002,86.35,2,3,12,2,29
272.373,1.0595,46.33,1,3,5,1,19
362.4140000000001,3.049100000000001,69.04,1,6,4,4,26
362.43300000000005,3.1514000000000006,96.16,2,4,4,3,27
473.5050000000002,2.7009000000000007,111.72,2,8,7,2,33
395.4630000000002,1.2446799999999991,109.56,2,6,5,1,29
433.4780000000002,2.996400000000002,62.190000000000005,2,4,5,2,31
839.9719999999998,6.878000000000006,200.35999999999996,5,12,19,5,60
393.4430000000002,3.405100000000002,74.73000000000002,1,7,10,3,29
351.41400000000004,1.8387799999999996,98.99,2,8,7,2,26
335.3710000000001,0.8684799999999996,107.78000000000002,3,8,5,2,25
446.5070000000003,3.7920000000000025,71.37,1,7,4,4,32
469.63500000000016,5.646200000000006,41.150000000000006,1,5,5,4,33
448.55100000000016,5.384700000000005,55.730000000000004,1,4,5,5,33
448.55100000000016,5.384700000000005,55.730000000000004,1,4,5,5,33
449.53900000000016,4.779700000000004,68.62,1,5,5,5,33
449.53900000000016,4.779700000000004,68.62,1,5,5,5,33
368.4610000000001,5.1399000000000035,37.91,1,3,3,4,27
230.27,3.029600000000001,25.78,0,2,0,3,18
431.5380000000001,7.2152000000000065,12.89,0,1,2,5,34
272.307,3.164500000000001,27.05,0,2,0,3,21
510.54700000000025,3.103370000000001,167.64,4,5,8,3,36
452.5110000000002,3.62427,139.13,4,4,6,3,32
387.9140000000001,6.3103400000000045,30.71,0,2,4,4,28
319.28999999999996,2.643600000000001,58.33,1,3,2,3,23
302.28799999999995,1.8995,71.22,1,4,2,3,22
362.44100000000003,1.6719400000000006,148.52,6,4,4,2,27
437.9050000000002,2.2205,108.3,2,6,5,2,29
454.5240000000001,7.304000000000006,48.78,2,4,7,4,34
645.724,3.194300000000001,145.13,2,10,7,4,48
514.4380000000001,4.918900000000004,100.47999999999999,1,3,4,3,34
219.21899999999997,1.52048,78.91,2,3,3,1,16
470.80600000000015,5.333780000000003,99.41999999999999,2,5,6,2,32
454.3510000000001,4.819480000000002,99.41999999999999,2,5,6,2,32
319.4450000000001,2.9178000000000015,42.07,0,4,2,0,23
293.40700000000004,2.3836000000000004,42.07,0,4,2,0,21
441.57200000000023,3.505620000000002,88.08,1,7,3,1,32
422.4660000000002,5.452800000000006,25.36,0,3,6,2,30
401.30400000000003,3.593600000000002,41.57,1,4,1,1,25
448.30400000000003,3.4357000000000015,41.57,1,4,1,1,25
277.411,4.600500000000005,3.24,0,1,2,2,21
329.4840000000001,3.5429000000000026,40.540000000000006,1,2,0,0,24
378.6110000000001,4.590400000000003,39.99,1,5,4,0,25
285.43100000000004,4.508700000000005,12.47,0,2,6,1,21
277.367,3.632900000000001,21.259999999999998,1,2,1,2,21
473.57700000000017,4.612100000000003,81.63000000000001,1,8,4,3,35
462.5500000000003,4.557800000000004,81.88000000000001,1,8,4,3,34
478.6180000000003,5.026300000000004,68.74000000000001,1,8,4,3,34
213.27999999999997,3.065900000000001,25.17,1,2,1,2,16
223.319,3.472900000000002,12.03,1,1,1,2,17
277.496,5.295400000000005,12.03,1,1,4,0,20
288.4790000000001,3.230400000000002,6.48,0,2,4,0,21
307.422,3.8709000000000024,36.75,2,2,3,2,22
419.56900000000013,4.554900000000004,45.67,0,4,6,2,31
521.5770000000003,5.673180000000006,121.35000000000001,1,7,7,4,39
282.38400000000007,2.2962000000000002,46.33,1,3,6,1,19
255.71999999999997,3.2642000000000007,35.25,1,2,5,1,17
349.52200000000016,4.282600000000003,9.72,0,3,6,2,26
261.36899999999997,3.013600000000001,53.16,3,2,6,1,19
413.5900000000001,6.096600000000005,18.509999999999998,1,4,4,3,30
411.57400000000007,5.849000000000005,18.509999999999998,1,4,3,3,30
358.46600000000007,5.914700000000003,41.13,2,3,3,3,26
359.45400000000006,5.446900000000002,67.14999999999999,3,3,3,3,26
422.30800000000016,4.777900000000004,65.49000000000001,0,5,2,1,28
418.4860000000002,1.6798,113.29000000000002,3,6,4,0,30
443.56500000000017,2.8618000000000015,88.88000000000001,2,7,3,1,31
507.5410000000003,4.465320000000002,110.44,2,6,9,3,37
480.6130000000004,2.35762,104.88999999999999,1,7,10,2,35
366.4250000000001,2.0740999999999996,77.55000000000001,0,5,5,3,27
500.9580000000005,4.382700000000004,77.02000000000001,0,7,9,3,35
327.38000000000005,4.108400000000002,37.38,0,3,2,2,23
427.5080000000002,4.107000000000002,93.37,2,6,6,3,32
526.0440000000002,5.599840000000005,84.63000000000001,1,4,4,5,38
481.5310000000003,4.495700000000003,90.97999999999999,2,4,6,4,36
429.52400000000017,4.354600000000003,93.37,2,6,7,3,32
405.45800000000025,2.833800000000001,95.5,1,6,4,3,30
491.3500000000003,5.383700000000005,76.58,1,6,6,3,33
547.4140000000001,5.542800000000005,85.81,1,7,7,3,37
512.9690000000004,4.889400000000004,85.81,1,7,7,3,36
432.4840000000003,3.0813400000000017,123.04,2,6,3,4,32
432.48400000000026,3.0813400000000017,123.04,2,6,3,4,32
554.6110000000002,3.4720000000000013,140.73000000000002,2,9,6,4,41
456.5060000000002,3.510600000000001,119.13,2,6,5,4,34
440.5070000000002,4.2173000000000025,99.16,1,6,5,4,33
537.6680000000002,4.652500000000003,119.03,2,6,6,4,40
523.6410000000002,5.109120000000003,119.03,2,6,6,4,39
509.61400000000026,4.8007000000000035,119.03,2,6,6,4,38
533.5790000000002,4.997920000000003,110.44,2,6,8,3,39
640.041,5.377800000000005,121.14,1,7,5,4,45
465.51700000000017,4.1308000000000025,98.74000000000001,2,7,5,4,35
415.88500000000016,1.6900999999999997,96.37,1,8,5,2,29
456.5020000000002,3.7406000000000024,97.99000000000002,1,6,7,3,34
427.5080000000002,4.297400000000002,102.16,3,6,7,3,32
429.52400000000017,4.543400000000003,102.16,3,6,7,3,32
415.43300000000016,0.6778999999999995,115.02000000000002,2,8,6,3,30
492.5800000000003,2.0544,129.89,3,7,7,2,36
464.52600000000035,1.2773999999999999,129.89,3,7,7,2,34
450.54300000000023,2.3332999999999995,129.45,4,6,7,2,33
470.5240000000003,3.0405000000000015,103.59,3,6,7,2,34
434.5440000000003,2.795300000000001,103.59,3,6,7,2,32
435.5320000000003,2.1902999999999997,116.48,3,7,7,2,32
437.5040000000003,1.0366,125.71000000000001,3,8,7,2,32
464.5700000000003,2.4185999999999996,112.82000000000001,3,7,7,2,34
465.5580000000003,1.8136,125.71000000000001,3,8,7,2,34
503.3860000000003,4.492400000000003,94.60000000000001,2,7,7,3,34
524.6290000000004,4.381480000000003,111.34,2,8,10,4,39
513.6460000000003,4.818220000000004,87.55,2,7,10,4,38
520.0370000000003,5.1528000000000045,98.41,3,7,10,4,37
534.0640000000003,5.163200000000004,87.55,2,7,10,4,38
506.0100000000003,5.034400000000003,105.47,3,7,10,4,36
518.0210000000002,5.129000000000004,96.67999999999999,2,7,8,4,37
532.0480000000002,5.519100000000004,96.67999999999999,2,7,8,4,38
521.0250000000003,4.319200000000003,99.91999999999999,2,8,10,4,37
519.0090000000002,4.071600000000002,99.91999999999999,2,8,8,4,37
519.0090000000002,4.073200000000003,99.91999999999999,2,8,7,4,37
533.0360000000002,4.461700000000003,99.91999999999999,2,8,8,4,38
485.5920000000003,4.499400000000003,98.41,3,7,10,4,36
483.57600000000036,4.253400000000003,98.41,3,7,7,4,36
499.6190000000003,4.509800000000003,87.55,2,7,10,4,37
485.59200000000027,4.167600000000002,96.34,3,7,10,4,36
525.6570000000004,4.919000000000003,87.55,2,7,10,4,39
500.6070000000003,3.9742200000000025,99.91999999999999,2,8,10,4,37
440.46300000000025,3.8455400000000024,131.82999999999998,3,6,4,5,33
423.4760000000001,5.386200000000003,102.16,3,6,7,4,32
469.54900000000026,4.3701000000000025,98.41,3,7,7,4,35
540.6270000000003,7.121220000000006,104.82000000000001,3,5,7,5,41
460.51700000000017,3.8340200000000015,117.87,3,8,7,4,34
276.40500000000003,2.1414999999999997,46.33,1,3,6,1,19
276.40500000000003,2.1651000000000002,46.33,1,3,7,1,19
316.4260000000001,2.783500000000001,41.57000000000001,1,3,7,1,22
333.4820000000001,2.6358000000000006,59.22,1,5,7,2,22
396.55600000000015,4.370100000000003,49.410000000000004,1,3,7,2,28
479.5470000000002,3.565800000000002,71.42000000000002,2,5,9,2,34
451.49300000000017,3.307800000000002,82.28,3,5,8,2,32
239.26499999999996,2.5918,35.25,1,2,5,1,17
237.72999999999996,2.9670000000000005,35.25,1,2,5,1,16
230.31099999999995,2.1841,33.62,1,3,5,1,17
526.6450000000002,3.2024000000000017,104.34,2,8,7,4,39
300.4080000000001,3.9735900000000015,37.79,1,3,3,3,20
507.5570000000003,3.575300000000002,88.49000000000001,2,6,9,2,36
324.4240000000001,3.1732000000000014,45.59,1,4,4,2,24
507.7370000000003,3.8668000000000036,109.85000000000001,3,7,5,0,35
616.8480000000004,6.2057200000000075,96.16000000000001,2,6,7,3,44
652.8000000000001,4.621800000000006,163.92999999999998,2,10,7,4,48
735.9339999999999,4.791400000000005,144.39,1,11,8,4,54
722.8949999999999,3.844200000000002,166.06999999999996,2,12,8,4,53
533.6040000000004,4.259020000000003,107.49000000000001,2,8,8,3,39
503.54800000000023,4.6688000000000045,76.10000000000001,1,6,7,3,36
515.5590000000002,4.812900000000004,76.10000000000001,1,6,7,3,37
370.42800000000017,2.1310400000000005,91.22,3,3,3,2,27
663.5580000000001,6.022300000000006,104.15000000000002,1,8,8,4,46
414.326,5.680700000000003,55.760000000000005,1,3,7,2,29
432.31600000000003,5.8198000000000025,55.760000000000005,1,3,7,2,30
506.5700000000003,1.6645599999999994,124.67000000000002,1,7,4,4,38
496.5750000000003,1.4962999999999995,113.77000000000001,1,7,4,4,37
506.5700000000003,1.664559999999999,124.66999999999999,1,7,4,4,38
481.56000000000023,1.7928799999999991,100.88,1,6,4,4,36
496.5750000000003,1.6240999999999997,127.75999999999999,1,7,4,4,37
437.9310000000001,2.210699999999999,86.15,1,5,4,3,31
586.7010000000001,1.1098000000000026,136.48000000000002,1,10,8,4,43
472.5530000000002,1.1474199999999997,116.86000000000001,1,7,4,4,35
