compound_id,smiles,pIC50,label,n_records,sources
CMPD_00001,Brc1cc(Br)cc([C@H]2C[C@@H](CN3CCCC3)N2Cc2ccccc2Br)c1,4.6020599913279625,0,1,ChEMBL
CMPD_00002,Brc1ccc(-c2nc3ccc(Br)cn3n2)cc1,5.0,1,1,ChEMBL
CMPD_00003,Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1,5.3703225363459826,1,2,ChEMBL
CMPD_00004,Brc1ccc2[nH]c3c(c2c1)CCCC3Nc1ccccc1,4.522878745280337,0,1,ChEMBL
CMPD_00005,Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12,5.6020599913279625,1,1,ChEMBL
CMPD_00006,Brc1cccc2nc(C#Cc3ccccn3)ccc12,4.6439741428068775,0,1,ChEMBL
CMPD_00007,Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1,5.638272163982407,1,1,ChEMBL
CMPD_00008,Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,4.823908740944319,0,1,ChEMBL
CMPD_00009,C#CC(O)(c1ccc(OC)nn1)c1cc(-c2ncnc3cc(N4CCOCC4)ccc23)c(F)cc1Cl,4.903089986991944,0,2,ChEMBL
CMPD_00010,C#CC1(N(COP(=O)([O-])[O-])C(=O)C(=O)c2c(C)c(C(=O)Nc3ccc(F)c(C#N)c3)n(C)c2C)COC1,3.5228787452803374,0,1,ChEMBL
CMPD_00011,C#CC1(NC(=O)C(=O)c2c(C)c(C(=O)Nc3ccc(F)c(C#N)c3)n(C)c2C)COC1,5.0,1,1,ChEMBL
CMPD_00012,C#CCCCCCCCCCNC(=O)Oc1cccc(-n2ccc(C(N)=O)c2)c1,5.0,1,1,ChEMBL
CMPD_00013,C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,5.0,1,1,ChEMBL
CMPD_00014,C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12,4.508638306165727,0,1,ChEMBL
CMPD_00015,C#CCOc1ccc2cc(-c3nn(C(C)(C)C)c(N)c3C(N)=O)ccc2c1,4.645891560852599,0,1,ChEMBL
CMPD_00016,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,5.161150909262744,1,1,ChEMBL
CMPD_00017,C#C[C@H]1CC[C@@H](C#N)N1C(=O)CNC1(C)CCN(c2cc(C(=O)O)ccn2)CC1,4.345823458122039,0,1,ChEMBL
CMPD_00018,C#C[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc34)C2)CC1,7.301029995663981,1,1,ChEMBL
CMPD_00019,C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,5.522878745280337,1,1,ChEMBL
CMPD_00020,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,4.6020599913279625,0,1,ChEMBL
CMPD_00021,C#Cc1cnc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)cc1NC,5.096910013008056,1,1,ChEMBL
CMPD_00022,C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NC[C@@H]1CNCCO1,5.086186147616283,1,1,ChEMBL
CMPD_00023,C#Cc1nc(-c2cc(C(O)c3nccs3)ccc2F)c2ccc(N3CCOCC3)cc2n1,5.0,1,6,ChEMBL
CMPD_00024,C(#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCSC4)ccc2-3)cs1)COc1ccccc1,5.0,1,1,ChEMBL
CMPD_00025,C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cccn4)ccc2-3)cs1)COc1ccccc1,5.0,1,1,ChEMBL
CMPD_00026,C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnc4)ccc2-3)cs1)COc1ccccc1,5.844663962534938,1,1,ChEMBL
