compound_id,smiles,pIC50,label,n_records,sources,scaffold,split
CMPD_00001,Brc1cc(Br)cc([C@H]2C[C@@H](CN3CCCC3)N2Cc2ccccc2Br)c1,4.6020599913279625,0,1,ChEMBL,c1ccc(CN2C(CN3CCCC3)CC2c2ccccc2)cc1,train
CMPD_00002,Brc1ccc(-c2nc3ccc(Br)cn3n2)cc1,5.0,1,1,ChEMBL,c1ccc(-c2nc3ccccn3n2)cc1,train
CMPD_00003,Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1,5.370322536345983,1,2,ChEMBL,c1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1,train
CMPD_00004,Brc1ccc2[nH]c3c(c2c1)CCCC3Nc1ccccc1,4.522878745280337,0,1,ChEMBL,c1ccc(NC2CCCc3c2[nH]c2ccccc32)cc1,test
CMPD_00005,Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12,5.6020599913279625,1,1,ChEMBL,c1cc2c(NC3=NCC4(CN5CCC4CC5)O3)ncnn2c1,train
CMPD_00006,Brc1cccc2nc(C#Cc3ccccn3)ccc12,4.6439741428068775,0,1,ChEMBL,C(#Cc1ccc2ccccc2n1)c1ccccn1,test
CMPD_00007,Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1,5.638272163982407,1,1,ChEMBL,c1cnc2nc(N3CCN4CCC3CC4)oc2c1,train
CMPD_00008,Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,4.823908740944319,0,1,ChEMBL,c1ccc(C2(COCc3cccnc3)CCNCC2)cc1,train
CMPD_00009,C#CC(O)(c1ccc(OC)nn1)c1cc(-c2ncnc3cc(N4CCOCC4)ccc23)c(F)cc1Cl,4.903089986991944,0,2,ChEMBL,c1cc(Cc2cccnn2)cc(-c2ncnc3cc(N4CCOCC4)ccc23)c1,train
CMPD_00010,C#CC1(N(COP(=O)([O-])[O-])C(=O)C(=O)c2c(C)c(C(=O)Nc3ccc(F)c(C#N)c3)n(C)c2C)COC1,3.5228787452803374,0,1,ChEMBL,O=C(NC1COC1)C(=O)c1c[nH]c(C(=O)Nc2ccccc2)c1,train
CMPD_00011,C#CC1(NC(=O)C(=O)c2c(C)c(C(=O)Nc3ccc(F)c(C#N)c3)n(C)c2C)COC1,5.0,1,1,ChEMBL,O=C(NC1COC1)C(=O)c1c[nH]c(C(=O)Nc2ccccc2)c1,train
CMPD_00012,C#CCCCCCCCCCNC(=O)Oc1cccc(-n2ccc(C(N)=O)c2)c1,5.0,1,1,ChEMBL,c1ccc(-n2cccc2)cc1,train
